500		0.0586575194	1.0000000000	0.1838881252
1000		0.0783456673	1.0000000000	0.0051354372
1500		0.0939026154	1.0000000000	0.0043428687
2000		0.1057826454	1.0000000000	0.0061173114
2500		0.1191017903	1.0000000000	0.0050928258
3000		0.1363450655	1.0000000000	0.0030470867
3500		0.1516498880	1.0000000000	0.0017901236
4000		0.1682470118	0.9999688958	0.0023330448
4500		0.1847577456	0.9996947658	0.0011158661
5000		0.2204949381	0.9984329268	0.0073303455
5500		0.2432115293	0.9969466726	0.0182088806
6000		0.2905305102	0.9921791604	0.0731161724
6500		0.3548923968	0.9777393474	0.3866129428
7000		0.4585019222	0.9418158458	0.8385210008
7500		0.6137573432	0.8540568960	0.9513762480
