500		0.0272161889	1.0000000000	0.7803294555
1000		0.0404729636	1.0000000000	0.1045931161
1500		0.0523107942	1.0000000000	0.0167160796
2000		0.0620504523	1.0000000000	0.0147735145
2500		0.0725583463	0.9991245136	0.0078675393
3000		0.0945131843	0.9934529651	0.0111317474
3500		0.1052866516	0.9925113700	0.1055776105
4000		0.1172735007	0.9918597992	0.0098837206
4500		0.1364518474	0.9890632377	0.5024016352
5000		0.1715996927	0.9813466001	0.5988425440
5500		0.2058454810	0.9708038158	0.8919843783
6000		0.3712768950	0.9138813737	0.9682317703
6500		0.5571753912	0.8334802938	0.9278131062
7000		0.7484575305	0.7327257209	0.8697423087
7500		0.8828035216	0.6492900054	0.8162031672
