500		0.0297361883	1.0000000000	0.7236282032
1000		0.0413036609	1.0000000000	0.1045867815
1500		0.0553815613	1.0000000000	0.0155908056
2000		0.0631227194	1.0000000000	0.0147629685
2500		0.0758304331	1.0000000000	0.0042703166
3000		0.0877786060	0.9979555081	0.0046776427
3500		0.1010272856	0.9979032088	0.1039091740
4000		0.1014150662	0.9988110138	0.1029640976
4500		0.1317809899	0.9940481999	0.4990030300
5000		0.1846370983	0.9826688678	0.6980923230
5500		0.1893505303	0.9814336344	0.7959176896
6000		0.3212447169	0.9400412452	0.9778747830
6500		0.5060096403	0.8691589821	0.9402346886
7000		0.6299434399	0.8050340405	0.9087480331
7500		0.8529831244	0.6797265067	0.8304464112
